source,title,url,published,description
mlive,Hudsonville takes over top spot in updated Michigan high school softball state rankings,https://www.mlive.com/highschoolsports/2026/05/hudsonville-takes-over-top-spot-in-updated-michigan-high-school-softball-state-rankings.html,"Wed, 13 May 2026 19:02:58 +0000","The May 12 rankings by the Michigan High School Softball Coaches Association features three new No. 1 teams: Hudsonville, Stevensville-Lakeshore and Evart."
mlive,‘Your heart is hard.’ Mother encourages son’s killer to reflect in message of forgiveness,https://www.mlive.com/news/ann-arbor/2026/05/your-heart-is-hard-mother-encourages-sons-killer-to-reflect-in-message-of-forgiveness.html,"Wed, 13 May 2026 19:00:47 +0000","The man, now 21, was sentenced to up to 60 years in prison."
pennlive,Pennsylvania’s 23 billionaires should help save families from Trump’s cuts | PennLive Editorial,https://www.pennlive.com/opinion/2026/05/pennsylvanias-23-billionaires-should-help-save-families-from-trumps-cuts-pennlive-editorial.html,"Wed, 13 May 2026 19:00:14 +0000","A coalition urges state lawmakers to tax the super-rich to offset federal slashes to food assistance, Medicaid and housing that have left 85,000 Pennsylvanians without health coverage."
silive,Sesame noodle brand recalled due to possible peanut contamination,https://www.silive.com/nation/2026/05/sesame-noodle-brand-recalled-due-to-possible-peanut-contamination.html,"Wed, 13 May 2026 19:00:00 +0000",The Fly By Jing brand of noodles were distributed nationwide through retail stores and sold online.
alcom,"Braves-Cubs free livestream: How to watch MLB game today, TV, schedule",https://www.al.com/tv/2026/05/braves-cubs-free-livestream-how-to-watch-mlb-game-today-tv-schedule.html,"Wed, 13 May 2026 19:00:00 +0000",The Atlanta Braves play against the Chicago Cubs in an MLB game today. Fans can watch this game for free online.
lehighvalley,Allentown Central Catholic recognizes 2 dozen athletes and their college picks,https://www.lehighvalleylive.com/highschoolsports/2026/05/allentown-central-catholic-recognizes-2-dozen-athletes-and-their-college-picks.html,"Wed, 13 May 2026 19:00:00 +0000",These Vikings and Vikettes will continue their playing careers at the next level.
alcom,What Alabama is working to fix after loss to Indiana in Rose Bowl,https://www.al.com/alabamafootball/2026/05/what-alabama-is-working-to-fix-after-loss-to-indiana-in-rose-bowl-per-kalen-deboer.html,"Wed, 13 May 2026 18:58:34 +0000",Here's what Kalen DeBoer said Alabama football learned from the loss to Indiana in the Rose Bowl.
mlive,Will Michigan football be better in 2026? The Wolverine Confidential crew has some tough answers,https://www.mlive.com/wolverines/football/2026/05/will-michigan-football-be-better-in-2026-the-wolverine-confidential-crew-has-some-tough-answers.html,"Wed, 13 May 2026 18:58:01 +0000","MLive's Michigan athletics-focused podcast is back to to talk football, NBA combine and update the baseball and softball teams."
pennlive,Penn State’s safety room post-spring: PSU counting on trio of Iowa State transfers,https://www.pennlive.com/pennstatefootball/2026/05/penn-states-safety-room-post-spring-psu-counting-on-trio-of-iowa-state-transfers.html,"Wed, 13 May 2026 18:57:57 +0000","Penn State head coach Matt Campbell brought three veteran safeties with him from Iowa State -- Marcus Neal Jr., Jeremiah Cooper and Jamison Patton."
njcom,"See all residential properties sold in Parsippany-Troy Hills area, May 4 to 10",https://www.nj.com/realestate-news/2026/05/see-all-residential-properties-sold-in-parsippany-troy-hills-area-may-4-to-10.html,"Wed, 13 May 2026 18:56:37 +0000","The following is a listing of all residential property transfers in Parsippany-Troy Hills area reported during the week of May 4. There were 14 transactions posted during this time. During this period, the median sale for the area was a 2,075-square-foot property on Lincoln Avenue in Lake Hiawatha that sold for $760,000."
njcom,"N.J. boys track & field sectionals, 2026: Preview & prediction for South, Group 2 meet",https://www.nj.com/highschoolsports/2026/05/nj-boys-track-field-sectionals-2026-preview-prediction-for-south-group-2-meet.html,"Wed, 13 May 2026 18:55:55 +0000","Here is our preview of the South, Group 2 boys sectional championship for N.J. track and field"
syracuse,Trump administration makes surprising immigration policy change for World Cup fans,https://www.syracuse.com/us-news/2026/05/trump-administration-makes-surprising-immigration-policy-change-for-world-cup-fans.html,"Wed, 13 May 2026 18:53:22 +0000",The waiver applies to travelers from five countries.
mlive,"Katseye announce ‘The Wildworld Tour’ coming to Detroit, MI venue",https://www.mlive.com/live-entertainment/2026/05/katseye-announce-the-wildworld-tour-coming-to-detroit-mi-venue.html,"Wed, 13 May 2026 18:53:11 +0000",Los Angeles-based dance-pop outfit Katseye revealed a 19-date 2026 North American trek in support of their forthcoming EP.
njcom,Boys Lacrosse 2026 CVC final preview - Robbinsville vs. Notre Dame,https://www.nj.com/highschoolsports/2026/05/boys-lacrosse-2026-cvc-final-preview-robbinsville-vs-notre-dame.html,"Wed, 13 May 2026 18:51:53 +0000",N.D. hunts redemption for a loss in the 2025 final; Robbinsville seeks revenge for an April loss to the Irish
cleveland,Medina County officials raise concerns over auditor’s office consultant who has received $200K in fees,https://www.cleveland.com/news/2026/05/medina-county-officials-raise-concerns-over-auditors-office-consultant-who-has-received-200k-in-fees.html,"Wed, 13 May 2026 18:50:20 +0000",Medina County commissioners are questioning a consultant’s role in the auditor’s office after he signed an employee termination letter.
lehighvalley,"What can $500,000 buy you in Lehigh County, May 4 to 10?",https://www.lehighvalleylive.com/realestate-news/2026/05/what-can-500000-buy-you-in-lehigh-county-may-4-to-10.html,"Wed, 13 May 2026 18:46:39 +0000","For prospective homebuyers eyeing the real estate market in the area of Lehigh County, here's what sold for $500,000 or under over the week of May 4 to 10."
silive,NY weather: Thunderstorms with penny-sized hail and damaging winds in part of New York Wednesday,https://www.silive.com/weather-alerts/2026/05/ny-weather-thunderstorms-with-penny-sized-hail-and-damaging-winds-in-part-of-new-york-wednesday.html-2,"Wed, 13 May 2026 18:46:25 +0000","On Wednesday at 2:43 p.m. a severe thunderstorm warning was released by the National Weather Service in effect until 3:45 p.m. for Livingston, Monroe, Ontario and Wayne counties."
syracuse,Polymarket Promo Code CUSE extends $20 bonus through May,https://www.syracuse.com/betting/2026/05/polymarket-promo-code-cuse-extends-20-bonus-through-may.html,"Wed, 13 May 2026 18:45:00 +0000","Polymarket extends its CUSE promo code, offering new US users a $20 bonus on a $20 deposit for all live markets through May."
syracuse,Alex Murdaugh murder conviction overturned by SC Supreme Court,https://www.syracuse.com/us-news/2026/05/alex-murdaugh-murder-conviction-overturned-by-sc-supreme-court.html,"Wed, 13 May 2026 18:44:54 +0000",The disgraced lawyer will remain in prison on federal charges while prosecutors plan a retrial.
syracuse,"Josh Groban bringing symphony tour to 4 Upstate NY cities: When, where, tickets",https://www.syracuse.com/live-entertainment/2026/05/josh-groban-bringing-symphony-tour-to-4-upstate-ny-cities-when-where-tickets.html,"Wed, 13 May 2026 18:44:06 +0000","The “Stage, Screen, and Symphony” tour will feature Groban performing alongside full symphony orchestras."
newyorkupstate,"Josh Groban bringing symphony tour to 4 Upstate NY cities: When, where, tickets",https://www.newyorkupstate.com/concerts/2026/05/josh-groban-bringing-symphony-tour-to-4-upstate-ny-cities-when-where-tickets.html,"Wed, 13 May 2026 18:44:06 +0000","The “Stage, Screen, and Symphony” tour will feature Groban performing alongside full symphony orchestras."
cleveland,"Ohio spent $164M on science of reading mandate; now, some charter schools may become exempt",https://www.cleveland.com/education/2026/05/ohio-spent-164m-on-science-of-reading-mandate-now-some-charter-schools-may-become-exempt.html,"Wed, 13 May 2026 18:43:59 +0000","Eight charter schools known as classical academies which serve almost 1,900 kids across the state may get an exemption from Ohio's requirement that they teach the science of reading."
syracuse,Man says his dogs yelped when neighbor hit them with machete: ‘It’s something I’m not going to forget’,https://www.syracuse.com/crime/2026/05/man-says-his-dogs-yelped-when-neighbor-hit-them-with-machete-its-something-im-not-going-to-forget.html,"Wed, 13 May 2026 18:41:20 +0000","The attack came at Pioneer Homes by a man who later shot Syracuse officers which led to a 6-hour standoff, police said."
cleveland,49ers’ George Kittle recounts funny early morning story about wife and a spider,https://www.cleveland.com/sports/2026/05/49ers-george-kittle-recounts-funny-early-morning-story-about-wife-and-a-spider.html,"Wed, 13 May 2026 18:40:32 +0000",San Francisco's franchise tight end recounted a funny story on X.
masslive,A condition affecting millions of women is getting a new name — doctors say it's long overdue,https://www.masslive.com/news/2026/05/after-years-of-confusion-and-delayed-diagnosis-pcos-is-getting-a-new-name.html,"Wed, 13 May 2026 18:40:22 +0000",A condition affecting millions of women may soon get a major rebrand — and researchers say the old name may have done more harm than good.
njcom,"N.J. girls track & field sectionals, 2026: Preview & prediction for South, Group 3 meet",https://www.nj.com/highschoolsports/2026/05/nj-girls-track-field-sectionals-2026-preview-prediction-for-south-group-3-meet.html,"Wed, 13 May 2026 18:40:00 +0000","Here's everything you need to know ahead of the South, Group 3 girls sectional meet at Delsea."
masslive,Jayson Tatum reveals Celtics dream he’s still chasing,https://www.masslive.com/celtics/2026/05/jayson-tatum-reveals-celtics-dream-hes-still-chasing.html,"Wed, 13 May 2026 18:37:43 +0000","Jayson Tatum also revealed that he got unlucky when it comes to his Achilles injury, according to doctors."
silive,NY weather update: The current severe thunderstorm warning for part of New York will be expiring at 3:15 p.m.,https://www.silive.com/weather-alerts/2026/05/ny-weather-damaging-winds-expected-with-thunderstorms-in-part-of-new-york-wednesday-winds-gusting-up.html,"Wed, 13 May 2026 18:37:25 +0000","The warning was for Allegany, Livingston and Wyoming counties."
lehighvalley,Plan to build hundreds of new apartments in Palmer Township now undergoing review,https://www.lehighvalleylive.com/news/2026/05/plan-to-build-hundreds-of-new-apartments-in-palmer-township-now-undergoing-review.html,"Wed, 13 May 2026 18:35:24 +0000",Township officials say earlier plans to build a factory or truck stop on the Van Buren Road properties have been scrapped
mlive,Spirit’s exit leaves Detroit travelers bracing for higher flight prices,https://www.mlive.com/news/detroit/2026/05/spirits-exit-leaves-detroit-travelers-bracing-for-higher-flight-prices.html,"Wed, 13 May 2026 18:35:10 +0000","""I don't see anything getting better,"" one frequent flyer told MLive about the rise in flight costs."
njcom,"Real estate influencer couple from N.J. used their following to scam investors, FBI says",https://www.nj.com/news/2026/05/real-estate-influencer-couple-from-nj-used-their-following-to-scam-investors-fbi-says.html,"Wed, 13 May 2026 18:32:18 +0000","The FBI is seeking to talk to more victims in a federal fraud case against Gregory and Danielle Parker, accused of using real estate seminars and Instagram to swindle investors."
alcom,Check out the AHSAA coaches Super All-State soccer teams,https://www.al.com/highschoolsports/2026/05/alabama-high-school-coaches-pick-their-best-of-the-best-super-all-state-soccer-teams.html,"Wed, 13 May 2026 18:32:13 +0000",AHSAA coaches list their top players from the 2026 soccer season.
